Step,X,Y,Z,Species
0,30.1725,14.5275,1.1175,LiFSI
0,27.9375,14.5275,3.3525,FSDEE
0,30.1725,16.7625,1.1175,FSDEE
0,30.1725,14.5275,3.3525,LiFSI
0,27.9375,16.7625,3.3525,FSDEE
0,31.29,13.41,0,Li_Metal
0,33.525,15.645,2.235,Li_Metal
0,33.525,15.645,0,LiFSI
0,33.525,13.41,2.235,FSDEE
0,31.29,15.645,2.235,LiFSI
0,33.525,13.41,0,LiFSI
0,31.29,15.645,0,FSDEE
0,31.29,13.41,2.235,LiFSI
0,32.4075,14.5275,1.1175,FSDEE
0,34.6425,14.5275,1.1175,LiFSI
0,32.4075,16.7625,1.1175,FSDEE
0,32.4075,14.5275,3.3525,FSDEE
0,34.6425,16.7625,1.1175,FSDEE
0,32.4075,16.7625,3.3525,FSDEE
0,35.76,13.41,0,Li_Metal
0,37.995,15.645,2.235,Li_Metal
0,37.995,15.645,0,LiFSI
0,37.995,13.41,2.235,FSDEE
0,37.995,13.41,0,LiFSI
0,35.76,13.41,2.235,LiFSI
0,36.8775,14.5275,1.1175,FSDEE
0,39.1125,14.5275,1.1175,LiFSI
0,36.8775,16.7625,1.1175,FSDEE
0,36.8775,14.5275,3.3525,FSDEE
0,39.1125,16.7625,1.1175,LiFSI
0,36.8775,16.7625,3.3525,FSDEE
0,39.1125,16.7625,3.3525,FSDEE
0,40.23,13.41,0,Li_Metal
0,42.465,15.645,2.235,Li_Metal
0,42.465,15.645,0,FSDEE
0,42.465,13.41,2.235,FSDEE
0,40.23,15.645,2.235,FSDEE
0,42.465,13.41,0,LiFSI
0,40.23,15.645,0,LiFSI
0,40.23,13.41,2.235,FSDEE
0,41.3475,14.5275,1.1175,LiFSI
0,43.5825,14.5275,1.1175,FSDEE
0,41.3475,16.7625,1.1175,LiFSI
0,41.3475,14.5275,3.3525,FSDEE
0,43.5825,16.7625,1.1175,FSDEE
0,43.5825,14.5275,3.3525,FSDEE
0,41.3475,16.7625,3.3525,FSDEE
0,43.5825,16.7625,3.3525,FSDEE
0,0,17.88,0,Li_Metal
0,2.235,20.115,2.235,Li_Metal
0,2.235,20.115,0,FSDEE
0,2.235,17.88,2.235,FSDEE
0,2.235,17.88,0,FSDEE
0,0,20.115,0,FSDEE
0,0,17.88,2.235,LiFSI
0,1.1175,18.9975,1.1175,FSDEE
0,1.1175,21.2325,1.1175,LiFSI
0,1.1175,18.9975,3.3525,FSDEE
0,3.3525,21.2325,1.1175,FSDEE
0,3.3525,18.9975,3.3525,FSDEE
0,1.1175,21.2325,3.3525,FSDEE
0,3.3525,21.2325,3.3525,LiFSI
0,4.47,17.88,0,Li_Metal
0,6.705,20.115,2.235,Li_Metal
0,6.705,20.115,0,FSDEE
0,6.705,17.88,2.235,FSDEE
0,6.705,17.88,0,FSDEE
0,4.47,20.115,0,LiFSI
0,4.47,17.88,2.235,FSDEE
0,5.5875,18.9975,1.1175,LiFSI
0,7.8225,18.9975,1.1175,LiFSI
0,5.5875,21.2325,1.1175,FSDEE
0,5.5875,18.9975,3.3525,FSDEE
0,7.8225,21.2325,1.1175,LiFSI
0,5.5875,21.2325,3.3525,FSDEE
0,7.8225,21.2325,3.3525,LiFSI
0,8.94,17.88,0,Li_Metal
0,11.175,20.115,2.235,Li_Metal
0,11.175,20.115,0,FSDEE
0,11.175,17.88,2.235,FSDEE
0,8.94,20.115,2.235,FSDEE
0,11.175,17.88,0,LiFSI
0,8.94,20.115,0,FSDEE
0,8.94,17.88,2.235,FSDEE
0,10.0575,18.9975,1.1175,FSDEE
0,12.2925,18.9975,1.1175,FSDEE
0,10.0575,21.2325,1.1175,FSDEE
0,10.0575,18.9975,3.3525,LiFSI
0,12.2925,21.2325,1.1175,FSDEE
0,12.2925,18.9975,3.3525,FSDEE
0,10.0575,21.2325,3.3525,FSDEE
0,12.2925,21.2325,3.3525,FSDEE
0,13.41,17.88,0,Li_Metal
0,15.645,20.115,2.235,Li_Metal
0,15.645,20.115,0,FSDEE
0,15.645,17.88,2.235,FSDEE
0,13.41,20.115,2.235,FSDEE
0,15.645,17.88,0,LiFSI
0,13.41,20.115,0,LiFSI
0,13.41,17.88,2.235,FSDEE
0,14.5275,18.9975,1.1175,FSDEE
0,16.7625,18.9975,1.1175,FSDEE
0,14.5275,21.2325,1.1175,LiFSI
0,14.5275,18.9975,3.3525,FSDEE
0,16.7625,21.2325,1.1175,FSDEE
0,16.7625,18.9975,3.3525,FSDEE
0,14.5275,21.2325,3.3525,FSDEE
0,16.7625,21.2325,3.3525,FSDEE
0,17.88,17.88,0,Li_Metal
0,20.115,20.115,2.235,Li_Metal
0,20.115,20.115,0,FSDEE
0,20.115,17.88,2.235,FSDEE
0,17.88,20.115,2.235,LiFSI
0,17.88,20.115,0,FSDEE
0,17.88,17.88,2.235,FSDEE
0,18.9975,18.9975,1.1175,LiFSI
0,21.2325,18.9975,1.1175,FSDEE
0,18.9975,21.2325,1.1175,FSDEE
0,18.9975,18.9975,3.3525,FSDEE
0,21.2325,21.2325,1.1175,FSDEE
0,21.2325,18.9975,3.3525,FSDEE
0,18.9975,21.2325,3.3525,FSDEE
0,21.2325,21.2325,3.3525,FSDEE
0,22.35,17.88,0,Li_Metal
0,24.585,20.115,2.235,Li_Metal
0,24.585,20.115,0,LiFSI
